match_id,home_team,away_team,stadium,elo_delta,home_xg_for,away_xg_for,home_xg_against,away_xg_against,home_exp_goals,away_exp_goals,total_exp_goals,home_tactical_score,away_tactical_score,match_tactical_modifier,venue_tier,home_climate_mod,away_climate_mod,situational_modifier,home_adj_xg,away_adj_xg,adjusted_total_exp_goals,match_ou_line,under_prob,over_prob,market_over,market_under,edge_over,edge_under,ou_best_edge,ou_best_value,ou_signal,ou_review_flag
39,Uruguay,Cabo Verde,Hard Rock Stadium,20.8,0.9328,1.2096,1.428014545,0.7289333333,0.8512533333,1.296965818,2.148219152,0.068,-0.088,-0.01,extreme,0,0.05,-0.21,0.90913856,1.241974467,1.699379292,2.5,63.66%,36.34%,,,,,0.00%,Under 2.5,PASS,
40,New Zealand,Egypt,BC Place,8.6,0,1.3824,0,0.5459441667,0.2183776667,0.82944,1.047817667,0.002,-0.132,-0.065,mild,0,0.05,-0.065,0.218814422,0.755951616,0.9114062455,2.5,91.07%,8.93%,,,,,0.00%,Under 2.5,PASS,
41,Argentina,Austria,AT&T Stadium,19.9,1.144,1.76,0.873425,0.93,1.0584,1.40537,2.46377,0.07,0.16,0.115,mild,0,-0.08,0.115,1.132488,1.499810864,2.935013233,2.5,55.31%,44.69%,,,,,0.00%,Under 2.5,PASS,
42,France,Iraq,lincoln Financial Field,31.7,2.54,0.957,0.48,1.429955172,2.095982069,0.7662,2.862182069,0.112,-0.042,0.035,moderate,0,0.05,-0.045,2.330732061,0.77072058,2.961887272,2.5,45.48%,54.52%,,,,,0.00%,Under 2.5,PASS,
43,Norway,Senegal,metLife Stadium,1.6,2.21,1.4592,0.87,0.8272333333,1.656893333,1.22352,2.880413333,0.12,0.068,0.094,moderate,-0.08,-0.1,0.014,1.707262891,1.176047424,2.923676659,2.5,45.05%,54.95%,,,,,0.00%,Under 2.5,PASS,
44,Jordan,Algeria,Levi's Stadium,5.9,1.044,1.1808,1.346697701,0.7323058333,0.9193223333,1.24715908,2.166481414,-0.132,-0.078,-0.105,mild,0,0.05,-0.105,0.7979717853,1.207374706,1.79478511,2.5,63.17%,36.83%,,,,,0.00%,Under 2.5,PASS,
45,Portugal,Uzbekistan,NRG Stadium,16.3,2.84,1.5486,0.89,1.209060575,2.18762423,1.28516,3.47278423,0.062,0.002,0.032,extreme,0,0,-0.168,2.323256932,1.28773032,3.004341394,2.5,32.59%,67.41%,,,,,0.00%,Under 2.5,PASS,
46,England,Ghana,Gillette Stadium,30.2,2.38,1.344,0.43,0.6978216667,1.707128667,0.9784,2.685528667,0.132,0.12,0.126,moderate,0,-0.1,0.046,1.932469651,0.9862272,3.052956906,2.5,49.72%,50.28%,,,,,0.00%,Under 2.5,PASS,
47,Panama,Croatia,bmo Field,13.5,1.5573,2.56,1.173091034,0.78,1.24638,2.005236414,3.251616414,-0.132,-0.07,-0.101,mild,-0.1,0,-0.101,0.973672056,1.864869865,2.551849187,2.5,36.92%,63.08%,,,,,0.00%,Under 2.5,PASS,
48,Colombia,DR Congo,Estadio Akron,19.9,1.364,1.2,1.269760455,0.88537,1.172548,1.227904182,2.400452182,0.132,0.002,0.067,high,0,0.05,-0.083,1.327324336,1.29187799,2.401808533,2.5,56.96%,43.04%,,,,,0.00%,Under 2.5,PASS,
49,Switzerland,Canada,BC Place,9.1,1.46,1.1136,0.76,0.7781344828,1.187253793,0.97216,2.159413793,0.01,0.002,0.006,mild,-0.08,-0.08,0.006,1.103196225,0.8961759744,2.011368432,2.5,63.36%,36.64%,,,,,0.00%,Under 2.5,PASS,
50,Bosnia and Herzegovina,Qatar,Lumen Field,0.9,1.72,0.9135,1.2,1.62803908,1.683215632,1.0281,2.711315632,-0.078,-0.132,-0.105,mild,0,-0.1,-0.105,1.551924813,0.80315172,2.107793497,2.5,49.09%,50.91%,,,,,0.00%,Under 2.5,PASS,
51,Scotland,Brazil,hard Rock Stadium,19.2,1.32,1.1176,1.66,1.058183636,1.215273455,1.33456,2.549833455,0.132,0.07,0.101,extreme,-0.08,0.05,-0.099,1.265634387,1.49937816,2.491276304,2.5,53.11%,46.89%,,,,,0.00%,Under 2.5,PASS,
52,Morocco,Haiti,Mercedes-Benz Stadium,28.2,1.7568,1.1571,0.621325,1.193854023,1.531621609,0.94279,2.474411609,-0.078,-0.12,-0.099,high,0,-0.1,-0.249,1.412155124,0.74668968,1.621292448,2.5,55.04%,44.96%,,,,,0.00%,Under 2.5,PASS,
53,Czechia,Mexico,Estadio Azteca,8,1.89,1.4007,1.16,0.8183551724,1.461342069,1.30442,2.765762069,0.002,0.088,0.045,altitude,-0.08,0.05,-0.105,1.347123573,1.490169408,2.539377218,2.5,47.77%,52.23%,,,,,0.00%,Under 2.5,PASS,
54,South Africa,South Korea,Estadio BBVA,10.3,1.3728,1.5834,0.5754233333,0.7242045977,1.113361839,1.180209333,2.293571172,0.002,0.132,0.067,extreme,0,0,-0.133,1.115588563,1.335996965,2.125524653,2.5,59.77%,40.23%,,,,,0.00%,Under 2.5,PASS,
55,Curaçao,Côte d'Ivoire,lincoln Financial Field,23.1,1.4442,1.4496,1.385415517,0.53573,1.080812,1.423926207,2.504738207,-0.132,0.068,-0.032,moderate,-0.1,0.05,-0.112,0.8443303344,1.596790848,2.16771561,2.5,54.26%,45.74%,,,,,0.00%,Under 2.5,PASS,
56,Ecuador,Germany,metLife Stadium,4.5,1.0208,2.01,1.093724545,0.72,0.90048,1.643489818,2.543969818,0.088,0.162,0.125,moderate,0,-0.08,0.045,0.97972224,1.756956355,2.859829132,2.5,53.26%,46.74%,,,,,0.00%,Under 2.5,PASS,
57,Japan,Sweden,AT&T Stadium,13,1.4094,1.18,0.6755793103,1.41,1.40964,0.9782317241,2.387871724,0.138,0.068,0.103,mild,0,-0.08,0.103,1.60417032,0.9611713629,2.829571876,2.5,57.29%,42.71%,,,,,0.00%,Under 2.5,PASS,
58,Tunisia,Netherlands,Arrowhead Stadium,19,1.632,2.07,0.9676516667,0.75,1.2792,1.629060667,2.908260667,-0.078,0.07,-0.004,moderate,0,0,-0.084,1.1794224,1.743094913,2.677025859,2.5,44.41%,55.59%,,,,,0.00%,Under 2.5,PASS,
59,Turkey,USA,SoFi Stadium,3.7,1.51,1.3137,1.4,1.172536207,1.375014483,1.34822,2.723234483,0.002,0.132,0.067,mild,0,0,0.067,1.377764512,1.52618504,3.098514172,2.5,48.80%,51.20%,,,,,0.00%,Under 2.5,PASS,
60,Paraguay,Australia,Levi's Stadium,2.9,0.9152,0.8352,1.168842727,1.273209655,1.058403862,0.9686570909,2.027060953,0.002,0.088,0.045,mild,0.05,0.05,0.045,1.113546703,1.106593861,2.320046889,2.5,66.94%,33.06%,,,,,0.00%,Under 2.5,PASS,
61,Norway,France,Gillette Stadium,18.5,2.21,2.54,0.87,0.48,1.518,1.872,3.39,0.12,0.112,0.116,moderate,-0.08,0,0.036,1.5641472,2.081664,3.777060403,2.5,34.17%,65.83%,,,,,0.00%,Under 2.5,PASS,
62,Senegal,Iraq,bmo Field,14.8,1.4592,0.957,0.8272333333,1.429955172,1.447502069,0.9050933333,2.352595402,0.068,-0.042,0.013,mild,-0.1,0.05,0.013,1.391338989,0.910433384,2.331695414,2.5,58.21%,41.79%,,,,,0.00%,Under 2.5,PASS,
63,Cabo Verde,Saudi Arabia,NRG Stadium,0,1.2096,1.3224,0.7289333333,1.161370115,1.190308046,1.085013333,2.275321379,-0.088,-0.132,-0.11,extreme,0.05,-0.1,-0.31,1.139838985,0.847612416,1.371341467,2.5,60.26%,39.74%,,,,,0.00%,Under 2.5,PASS,
64,Uruguay,Spain,Estadio Akron,15.2,0.9328,2.74,1.428014545,0.71,0.84368,2.215205818,3.058885818,0.068,0.062,0.065,high,0,0,-0.085,0.90105024,2.352548579,2.977042919,2.5,41.01%,58.99%,,,,,0.00%,Under 2.5,PASS,
65,Egypt,IR Iran,Lumen Field,6.8,1.3824,1.6443,0.5459441667,1.241031034,1.325852414,1.204957667,2.53081008,-0.132,-0.132,-0.132,mild,0.05,0,-0.132,1.20838189,1.045903255,1.956719506,2.5,53.59%,46.41%,,,,,0.00%,Under 2.5,PASS,
66,New Zealand,Belgium,BC Place,22.9,0,2.57,0,0.7,0.28,1.542,1.822,0.002,0.12,0.061,mild,0,0,0.061,0.28056,1.72704,2.1300636,2.5,72.47%,27.53%,,,,,0.00%,Under 2.5,PASS,
67,Panama,England,metLife Stadium,21.7,1.5573,2.38,1.173091034,0.43,1.10638,1.897236414,3.003616414,-0.132,0.132,0,moderate,-0.1,0,-0.08,0.864304056,2.14767162,2.771017622,2.5,42.24%,57.76%,,,,,0.00%,Under 2.5,PASS,
68,Croatia,Ghana,lincoln Financial Field,22,2.56,1.344,0.78,0.6978216667,1.815128667,1.1184,2.933528667,-0.07,0.12,0.025,moderate,0,-0.1,-0.055,1.68806966,1.1273472,2.660568933,2.5,43.82%,56.18%,,,,,0.00%,Under 2.5,PASS,
69,Colombia,Portugal,hard Rock Stadium,1.3,1.364,2.84,1.269760455,0.89,1.1744,2.211904182,3.386304182,0.132,0.062,0.097,extreme,0,0,-0.103,1.3294208,2.349042241,3.299581348,2.5,34.24%,65.76%,,,,,0.00%,Under 2.5,PASS,
70,DR Congo,Uzbekistan,mercedes-Benz Stadium,2.3,1.2,1.5486,0.88537,1.209060575,1.20362423,1.283308,2.48693223,0.002,0.002,0.002,high,0.05,0,-0.148,1.266333052,1.285874616,2.174480933,2.5,54.72%,45.28%,,,,,0.00%,Under 2.5,PASS,
71,Algeria,Austria,Arrowhead Stadium,3.2,1.1808,1.76,0.7323058333,0.93,1.08048,1.348922333,2.429402333,-0.078,0.16,0.041,moderate,0.05,-0.08,-0.039,1.046012688,1.439569914,2.388644881,2.5,56.20%,43.80%,,,,,0.00%,Under 2.5,PASS,
