match_id,match_number,home_team,away_team,city,stage,home_team_elo,away_team_elo,elo_diff,home_gd_last5,away_gd_last5,gd_last5_diff,home_xg_diff,away_xg_diff,xg_diff_diff,home_form_pts,away_form_pts,form_diff,home_climate,away_climate,venue_tier,home_alt_origin,away_alt_origin,home_f8_pen,away_f8_pen,f8_score,home_tactic_primary,away_tactic_primary,f10_raw_score,home_tactic_secondary,away_tactic_secondary,f10_score,home_strength,market_home,market_draw,market_away,edge_home,edge_draw,edge_away,best_edge,best_value,signal,review_flag,raw_score,home_win_prob,draw_prob,away_win_prob,pick
41,41,Argentina,Austria,Dallas,Group Stage,98.5,78.6,19.9,1,1,0,0.53,0.83,-0.3,10,10,0,25.00,157.00,mild,positional_play,high_press_hybrid,0.00,0.00,0.00,high_press_hybrid,gegenpressing,0.00,NO,NO,0.00,0.75,0.5940594059,0.2475247525,0.1584158416,-2.57%,-0.72%,3.29%,3.29%,Austria,PASS,,1.09,56.84%,24.03%,19.13%,Argentina
42,42,France,Iraq,Philadelphia,Group Stage,98.6,66.9,31.7,3,0,3,2.06,-0.2,2.26,13,9,4,34.00,34.00,moderate,high_press_hybrid,mid_block_compact,0.00,0.00,0.00,positional_play,mid_block_compact,1.00,NO,NO,0.75,0.99,0.8529411765,0.1078431373,0.03921568627,-6.94%,9.71%,-2.76%,9.71%,Draw,PLAY,,4.21,78.35%,20.49%,1.16%,France
43,43,Norway,Senegal,New York/New Jersey,Group Stage,80.1,81.7,-1.6,3,-1,4,1.34,0.72,0.62,15,12,3,26.00,10.00,moderate,direct_attacking,direct_attacking,0.00,0.00,0.00,high_press_hybrid,mid_block_compact,1.00,NO,NO,0.75,0.85,0.4607843137,0.2647058824,0.2745098039,13.62%,3.05%,-16.67%,13.62%,Norway,STRONG PLAY,,1.71,59.69%,29.52%,10.79%,Norway
44,44,Jordan,Algeria,San Francisco Bay Area,Group Stage,69.5,75.4,-5.9,0,-0.5,0.5,-0.02,0.52,-0.54,12,12,0,777.00,727.00,mild,low_block_counter,mid_block_compact,0.00,0.00,0.00,mid_block_compact,low_block_counter,0.00,NO,NO,0.00,0.39,0.14,0.23,0.63,13.64%,5.23%,-18.87%,13.64%,Jordan,STRONG PLAY,,-0.47,27.64%,28.23%,44.13%,Algeria
45,45,Portugal,Uzbekistan,Houston,Group Stage,89.4,73.1,16.3,3,1,2,1.95,0.69,1.26,10,11,-1,9.00,457.00,extreme,positional_play,mid_block_compact,-6.00,-2.00,4.00,direct_attacking,direct_attacking,0.00,NO,NO,0.00,1.00,0.7821782178,0.1386138614,0.07920792079,-3.59%,11.25%,-7.66%,11.25%,Draw,PLAY,,5.64,74.62%,25.11%,0.27%,Portugal
46,46,England,Ghana,Boston,Group Stage,93.1,62.9,30.2,2,-0.5,2.5,1.95,0.72,1.23,15,10,5,86.00,61.00,moderate,high_press_hybrid,direct_attacking,0.00,0.00,0.00,direct_attacking,high_press_hybrid,1.00,NO,NO,0.75,0.98,0.7474747475,0.1616161616,0.09090909091,2.53%,4.78%,-7.31%,4.78%,Draw,WATCH,,3.77,77.27%,20.94%,1.79%,England
47,47,Panama,Croatia,Toronto,Group Stage,71.4,84.9,-13.5,2,1.5,0.5,0.73,1.78,-1.05,11,13,-2,6.00,10.00,mild,low_block_counter,mid_block_compact,0.00,0.00,0.00,mid_block_compact,possession_passive,0.00,NO,NO,0.00,0.22,0.1274509804,0.2352941176,0.637254902,3.59%,2.42%,-6.01%,3.59%,Panama,PASS,,-1.26,16.33%,25.95%,57.72%,Croatia
48,48,Colombia,DR Congo,Guadalajara,Group Stage,90.7,70.8,19.9,3,0,3,0.42,0.39,0.03,9,10,-1,14.00,315.00,high,high_press_hybrid,mid_block_compact,-3.00,0.00,3.00,direct_attacking,direct_attacking,0.00,NO,NO,0.00,0.99,0.66,0.22,0.12,9.19%,2.03%,-11.22%,9.19%,Colombia,PLAY,,4.57,75.19%,24.03%,0.78%,Colombia
49,49,Switzerland,Canada,Vancouver,Group Stage,83.8,74.7,9.1,1.5,1,0.5,0.7,0.58,0.12,11,9,2,557.00,30.00,mild,mid_block_compact,mid_block_compact,0.00,0.00,0.00,high_press_hybrid,direct_attacking,-1.00,NO,YES,-0.75,0.52,0.4848484848,0.2323232323,0.2828282828,-10.79%,4.04%,6.76%,6.76%,Canada,WATCH,,0.07,37.69%,27.27%,35.04%,Switzerland
50,50,Bosnia and Herzegovina,Qatar,Seattle,Group Stage,62.9,62,0.9,0,-1.5,1.5,0.52,-0.44,0.96,7,5,2,535.00,5.00,mild,mid_block_compact,low_block_counter,0.00,0.00,0.00,low_block_counter,mid_block_compact,0.00,NO,NO,0.00,0.68,0.6237623762,0.1881188119,0.1881188119,-14.27%,10.92%,3.35%,10.92%,Draw,PLAY,,0.78,48.11%,29.73%,22.16%,Bosnia and Herzegovina
